row_number,inning,half,pitcher,batter,ball_count,strike_count,pitch,result,outs,runner_1B,runner_2B,runner_3B,score,away_score,home_score,pitcher_pitch_count,gameid,game_date,pitcher_throw,batter_hit,batter_height,batter_position,Extension (ft),Pitch Time,Release Speed (mph),Spin Rate (rpm),Tilt,Induced Virtual Break (in),Horizontal Break (in),Vertical Approach Angle,Horizontal Approach Angle,Location Side (ft),Location Height (ft),Release Height (ft),Release Side (ft),Pitch Type,PitchType_Color,Handedness,Hit Type,Exit Velocity (mph),Launch Angle (°),Batter Name,Hit Time,Direction (°),Bearing (°),Distance (ft)
,,,Duane Underwood Jr.,Tomo Otosaka,,,,Single to third base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bunt,29.73,23.5,Tomo Otosaka,4/25/2025 20:15,–19.10,–18.89,53.6
,,,Duane Underwood Jr.,Jalen Miller,,,,Groundout (3u),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GroundBall,46.98,27.38,Jalen Miller,4/25/2025 20:16,31.97,32.28,33.64
,,,Duane Underwood Jr.,Frankie Tostado,,,,Groundout (4-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GroundBall,92.87,–15.26,Frankie Tostado,4/25/2025 20:28,29.96,25.29,11.18
,,,Duane Underwood Jr.,Alerick Soularie,,,,Groundout (3u),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GroundBall,79.88,–24.81,Alerick Soularie,4/25/2025 20:29,31.03,28.85,14.17
,,,Duane Underwood Jr.,Justin Connell,,,,Groundout (3u),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GroundBall,61.15,–48.33,Justin Connell,4/25/2025 20:43,49.13,36.35,1.79
,,,Duane Underwood Jr.,Jairus Richards,,,,home run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FlyBall,105.26,23.14,Jairus Richards,4/25/2025 20:44,3.53,0.65,426.32
,,,Duane Underwood Jr.,Jeffrey Wehler,,,,Popup (P6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Popup,64.85,49.06,Jeffrey Wehler,4/25/2025 20:45,–14.70,–12.86,189.12
,,,Duane Underwood Jr.,Michael Berglund,,,,Single to Right Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GroundBall,38.8,–74.70,Michael Berglund,4/25/2025 20:46,–125.05,–46.81,2.53
,,,Justus Sheffield,Jalen Miller,,,,Groundout (P4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Popup,81.57,50.06,Jalen Miller,4/25/2025 20:58,–0.31,1.46,336.73
,,,Justus Sheffield,Osvaldo Tovalin,,,,Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GroundBall,97.18,–2.67,Osvaldo Tovalin,4/25/2025 21:03,30.09,27.76,52.41
,,,Justus Sheffield,Michael Berglund,,,,Single to Right Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LineDrive,96.97,11.5,Michael Berglund,4/25/2025 21:23,10.63,12.04,187.27
,,,Justus Sheffield,Jalen Miller,,,,Groundout (1-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GroundBall,52.83,–28.61,Jalen Miller,4/25/2025 21:26,–17.32,–18.02,6.92
,,,Nick Snyder,Frankie Tostado,,,,Flyout to Center Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FlyBall,101.2,27.26,Frankie Tostado,4/25/2025 21:41,13.3,9.22,377.62
,,,,Justin Connell,,,,Popout (P6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Popup,79.63,62.84,Justin Connell,4/25/2025 22:00,–26.49,–18.59,125.85
,,,Ryan Higgins,Jeffrey Wehler,,,,Sac fly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FlyBall,102.63,38.32,Jeffrey Wehler,4/25/2025 22:06,–3.78,0.83,371.65
