Season,season_id,Team,team_id,Player,player_id,AB,GDP,DP_Rate,stats_url
ALPB- 2024,33927,Southern Maryland Blue Crabs,3608,"Yetsko, I",1697267,209,1,0.0048,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=33927
ALPB- 2015,29210,Bridgeport Bluefish,3611,"x Chapman, E",824640,205,1,0.0049,https://baseball.pointstreak.com/team_stats.html?teamid=3611&seasonid=29210
ALPB - 2010,249,Bridgeport Bluefish,3611,"Greenberg, A",45555,384,2,0.0052,https://baseball.pointstreak.com/team_stats.html?teamid=3611&seasonid=249
ALPB- 2014,28163,Lancaster Barnstormers,3613,"Kajimoto, Y",1129814,371,2,0.0054,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=28163
ALPB- 2019,34130,Long Island Ducks,3609,"Fuentes, R",1750135,364,2,0.0055,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34130
ALPB- 2023,34162,Staten Island Ferry Hawks,163526,"Baldwin, R",1716479,349,2,0.0057,https://baseball.pointstreak.com/team_stats.html?teamid=163526&seasonid=34162
ALPB- 2015,29210,Lancaster Barnstormers,3613,"Cavazos-Galvez, B",794002,505,3,0.0059,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=29210
ALPB- 2019,34130,York Revolution,3614,"Skelton, J",780624,331,2,0.006,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34130
ALPB- 2019,34130,Southern Maryland Blue Crabs,3608,"Silva, R",962752,483,3,0.0062,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34130
ALPB- 2012,12585,York Revolution,3614,"Haveman, B",295010,482,3,0.0062,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=12585
ALPB - 2010,249,Southern Maryland Blue Crabs,3608,"Cumberland, S",45608,324,2,0.0062,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=249
ALPB- 2021,34146,Long Island Ducks,3609,"Turbo, J",1749709,316,2,0.0063,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34146
ALPB- 2024,33927,Lancaster Stormers,3613,"x Dues, D",1711467,314,2,0.0064,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=33927
ALPB - 2010,249,Southern Maryland Blue Crabs,3608,"Owens, J",45612,453,3,0.0066,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=249
ALPB- 2022,34154,York Revolution,3614,"Lien, C",1750718,305,2,0.0066,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34154
ALPB - 2010,249,Southern Maryland Blue Crabs,3608,"Giannotti, R",45609,304,2,0.0066,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=249
ALPB- 2021,34146,Lancaster Barnstormers,3613,"Gindl, C",1111228,450,3,0.0067,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34146
ALPB- 2024,33927,Long Island Ducks,3609,"Encarnacion, J",1743134,297,2,0.0067,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=33927
ALPB- 2023,34162,Lexington Counter Clocks,163530,"Broussard, B",1703488,294,2,0.0068,https://baseball.pointstreak.com/team_stats.html?teamid=163530&seasonid=34162
ALPB- 2021,34146,Gastonia Honey Hunters,163528,"Papi, M",1750583,292,2,0.0068,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34146
ALPB- 2021,34146,York Revolution,3614,"Sandford, C",1750089,289,2,0.0069,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34146
ALPB- 2013,21966,Bridgeport Bluefish,3611,"Suarez, I",455473,288,2,0.0069,https://baseball.pointstreak.com/team_stats.html?teamid=3611&seasonid=21966
ALPB- 2019,34130,New Britain Bees,107693,"Ford, D",1256788,426,3,0.007,https://baseball.pointstreak.com/team_stats.html?teamid=107693&seasonid=34130
ALPB- 2019,34130,High Point Rockers,163529,"Rosa, V",1750172,286,2,0.007,https://baseball.pointstreak.com/team_stats.html?teamid=163529&seasonid=34130
ALPB- 2025,34102,Gastonia Ghost Peppers,163528,"x Watson Jr., K",1748844,286,2,0.007,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34102
ALPB- 2015,29210,Sugar Land Skeeters,34136,"Scott, T",442667,425,3,0.0071,https://baseball.pointstreak.com/team_stats.html?teamid=34136&seasonid=29210
ALPB- 2022,34154,Southern Maryland Blue Crabs,3608,"Sundberg, J",1750711,422,3,0.0071,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34154
ALPB- 2025,34102,Gastonia Ghost Peppers,163528,"De La Rosa, E",1748840,282,2,0.0071,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34102
ALPB- 2022,34154,Kentucky Wild Health Genomes,165440,"Shaw, C",1750051,416,3,0.0072,https://baseball.pointstreak.com/team_stats.html?teamid=165440&seasonid=34154
ALPB- 2013,21966,Camden Riversharks,3610,"x Walker, C",447320,278,2,0.0072,https://baseball.pointstreak.com/team_stats.html?teamid=3610&seasonid=21966
ALPB- 2015,29210,Somerset Patriots,3604,"Spears, N",604855,404,3,0.0074,https://baseball.pointstreak.com/team_stats.html?teamid=3604&seasonid=29210
ALPB- 2015,29210,Somerset Patriots,3604,"x Gamel, M",886047,271,2,0.0074,https://baseball.pointstreak.com/team_stats.html?teamid=3604&seasonid=29210
ALPB- 2025,34102,York Revolution,3614,"Miller, J",1745941,402,3,0.0075,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34102
ALPB- 2016,30100,Southern Maryland Blue Crabs,3608,"Brown, G",966958,401,3,0.0075,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=30100
ALPB- 2024,33927,Lancaster Stormers,3613,"Martin, M",1714598,267,2,0.0075,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=33927
ALPB- 2022,34154,Gastonia Honey Hunters,163528,"Hampton, R",1750605,394,3,0.0076,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34154
ALPB- 2019,34130,New Britain Bees,107693,"De Aza, A",1711164,264,2,0.0076,https://baseball.pointstreak.com/team_stats.html?teamid=107693&seasonid=34130
ALPB- 2018,31284,Southern Maryland Blue Crabs,3608,"x Songco, A",1262092,262,2,0.0076,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=31284
ALPB - 2010,249,York Revolution,3614,"Grimes, S",45506,520,4,0.0077,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=249
ALPB- 2021,34146,Lancaster Barnstormers,3613,"Allemand, B",1750455,386,3,0.0078,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34146
ALPB - 2010,249,Lancaster Barnstormers,3613,"Gaetti, J",45651,385,3,0.0078,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=249
ALPB- 2018,31284,Somerset Patriots,3604,"Pacchioli, J",1097058,257,2,0.0078,https://baseball.pointstreak.com/team_stats.html?teamid=3604&seasonid=31284
ALPB- 2024,33927,York Revolution,3614,"McDermott, M",1696439,508,4,0.0079,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=33927
ALPB- 2019,34130,Southern Maryland Blue Crabs,3608,"Valerio, C",1750029,382,3,0.0079,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34130
ALPB- 2019,34130,Southern Maryland Blue Crabs,3608,"Blackstone, K",1750075,379,3,0.0079,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34130
ALPB- 2022,34154,Lexington Legends,163530,"Powell, H",1750050,253,2,0.0079,https://baseball.pointstreak.com/team_stats.html?teamid=163530&seasonid=34154
ALPB- 2024,33927,York Revolution,3614,"x Martin, T",1718066,253,2,0.0079,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=33927
ALPB- 2025,34102,Long Island Ducks,3609,"Encarnacion, J",1743134,252,2,0.0079,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34102
ALPB- 2021,34146,Gastonia Honey Hunters,163528,"Powell, H",1750050,377,3,0.008,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34146
ALPB- 2022,34154,High Point Rockers,163529,"Latimore, F",1750161,375,3,0.008,https://baseball.pointstreak.com/team_stats.html?teamid=163529&seasonid=34154
ALPB- 2015,29210,Lancaster Barnstormers,3613,"Collier, Z",839228,249,2,0.008,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=29210
ALPB- 2022,34154,Gastonia Honey Hunters,163528,"Skole, J",1750580,369,3,0.0081,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34154
ALPB- 2024,33927,Gastonia Baseball Club,163528,"De La Rosa, E",1696441,369,3,0.0081,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=33927
ALPB- 2022,34154,York Revolution,3614,"Kenley, J",1750432,246,2,0.0081,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34154
ALPB- 2012,12585,Southern Maryland Blue Crabs,3608,"Daniel, M",289539,490,4,0.0082,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=12585
ALPB- 2021,34146,Gastonia Honey Hunters,163528,"Skole, J",1750580,366,3,0.0082,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34146
ALPB- 2022,34154,Southern Maryland Blue Crabs,3608,"Collier, Z",1750064,365,3,0.0082,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34154
ALPB- 2022,34154,Gastonia Honey Hunters,163528,"Roman, L",1750942,364,3,0.0082,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34154
ALPB- 2019,34130,Somerset Patriots,3604,"Crouse, M",941125,245,2,0.0082,https://baseball.pointstreak.com/team_stats.html?teamid=3604&seasonid=34130
ALPB- 2016,30100,Lancaster Barnstormers,3613,"Hobson, K",1113281,363,3,0.0083,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=30100
ALPB- 2023,34162,Gastonia Honey Hunters,163528,"Reinheimer, J",1750918,242,2,0.0083,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34162
ALPB- 2022,34154,High Point Rockers,163529,"Ladendorf, T",1750032,356,3,0.0084,https://baseball.pointstreak.com/team_stats.html?teamid=163529&seasonid=34154
ALPB- 2023,34162,Long Island Ducks,3609,"Powell, H",1750050,239,2,0.0084,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162
ALPB- 2016,30100,Sugar Land Skeeters,34136,"x Matthes, K",970082,239,2,0.0084,https://baseball.pointstreak.com/team_stats.html?teamid=34136&seasonid=30100
ALPB- 2012,12585,Long Island Ducks,3609,"x McOwen, J",1088919,238,2,0.0084,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=12585
ALPB- 2019,34130,Lancaster Barnstormers,3613,"Hobson, K",1750300,469,4,0.0085,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34130
ALPB- 2013,21966,York Revolution,3614,"Kirkland, K",505683,236,2,0.0085,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=21966
ALPB- 2012,12585,Lancaster Barnstormers,3613,"x Pedroza, J",290234,232,2,0.0086,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=12585
ALPB- 2022,34154,Gastonia Honey Hunters,163528,"Rosa, J",1750930,458,4,0.0087,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34154
ALPB- 2018,31284,Somerset Patriots,3604,"x Borbon, J",1246620,229,2,0.0087,https://baseball.pointstreak.com/team_stats.html?teamid=3604&seasonid=31284
ALPB- 2014,28163,Southern Maryland Blue Crabs,3608,"Mitchell, J",619217,455,4,0.0088,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=28163
ALPB- 2022,34154,Kentucky Wild Health Genomes,165440,"Dueñez, S",1750820,228,2,0.0088,https://baseball.pointstreak.com/team_stats.html?teamid=165440&seasonid=34154
ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,"Sundberg, J",1750711,451,4,0.0089,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162
ALPB- 2022,34154,Staten Island Ferry Hawks,163526,"Duplantis, A",1750645,338,3,0.0089,https://baseball.pointstreak.com/team_stats.html?teamid=163526&seasonid=34154
ALPB- 2014,28163,York Revolution,3614,"Greene, J",635610,444,4,0.009,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=28163
ALPB- 2025,34102,Gastonia Ghost Peppers,163528,"Reinheimer, J",1748843,333,3,0.009,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34102
ALPB - 2010,249,Bridgeport Bluefish,3611,"Johnson, T",45551,222,2,0.009,https://baseball.pointstreak.com/team_stats.html?teamid=3611&seasonid=249
ALPB - 2011,540,Bridgeport Bluefish,3611,"Moss, S",45553,441,4,0.0091,https://baseball.pointstreak.com/team_stats.html?teamid=3611&seasonid=540
ALPB- 2023,34162,Lancaster Barnstormers,3613,"Mercedes, M",1750306,439,4,0.0091,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162
ALPB- 2023,34162,Long Island Ducks,3609,"Goodwin, B",1750961,220,2,0.0091,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162
ALPB- 2016,30100,Somerset Patriots,3604,"Kral, R",962611,220,2,0.0091,https://baseball.pointstreak.com/team_stats.html?teamid=3604&seasonid=30100
ALPB- 2021,34146,Long Island Ducks,3609,"Lombardozzi, S",1749711,435,4,0.0092,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34146
ALPB- 2013,21966,Somerset Patriots,3604,"Eggleston, A",415718,429,4,0.0093,https://baseball.pointstreak.com/team_stats.html?teamid=3604&seasonid=21966
ALPB- 2015,29210,Southern Maryland Blue Crabs,3608,"DeJesus, A",294793,323,3,0.0093,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=29210
ALPB- 2025,34102,Lancaster Stormers,3613,"Ward, N",1744196,322,3,0.0093,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34102
ALPB- 2024,33927,High Point Rockers,163529,"Grotjohn, R",1696992,321,3,0.0093,https://baseball.pointstreak.com/team_stats.html?teamid=163529&seasonid=33927
ALPB- 2012,12585,Somerset Patriots,3604,"Holden, J",313680,321,3,0.0093,https://baseball.pointstreak.com/team_stats.html?teamid=3604&seasonid=12585
ALPB - 2010,249,Bridgeport Bluefish,3611,"Roberson, C",45558,214,2,0.0093,https://baseball.pointstreak.com/team_stats.html?teamid=3611&seasonid=249
ALPB- 2013,21966,Sugar Land Skeeters,34136,"Clemens, K",385665,319,3,0.0094,https://baseball.pointstreak.com/team_stats.html?teamid=34136&seasonid=21966
ALPB- 2024,33927,Lancaster Stormers,3613,"Dunston Jr., S",1695449,318,3,0.0094,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=33927
ALPB- 2023,34162,High Point Rockers,163529,"Russell, M",1750186,213,2,0.0094,https://baseball.pointstreak.com/team_stats.html?teamid=163529&seasonid=34162
ALPB- 2022,34154,Charleston Dirty Birds,163527,"Kelly, S",1764620,422,4,0.0095,https://baseball.pointstreak.com/team_stats.html?teamid=163527&seasonid=34154
ALPB- 2012,12585,Somerset Patriots,3604,"x Bynum, F",289082,421,4,0.0095,https://baseball.pointstreak.com/team_stats.html?teamid=3604&seasonid=12585
ALPB- 2021,34146,Lexington Legends,163530,"Aklinski, B",1750098,420,4,0.0095,https://baseball.pointstreak.com/team_stats.html?teamid=163530&seasonid=34146
ALPB- 2025,34102,Southern Maryland Blue Crabs,3608,"Digiacomo, G",1749637,317,3,0.0095,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34102
ALPB- 2016,30100,Sugar Land Skeeters,34136,"Prince, J",960120,317,3,0.0095,https://baseball.pointstreak.com/team_stats.html?teamid=34136&seasonid=30100
ALPB- 2013,21966,Somerset Patriots,3604,"Tucker, J",289089,523,5,0.0096,https://baseball.pointstreak.com/team_stats.html?teamid=3604&seasonid=21966
ALPB- 2012,12585,Lancaster Barnstormers,3613,"Frostad, E",430240,312,3,0.0096,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=12585
ALPB- 2022,34154,Long Island Ducks,3609,"Turbo, J",1749709,209,2,0.0096,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34154
ALPB- 2012,12585,Southern Maryland Blue Crabs,3608,"Giannotti, R",125435,209,2,0.0096,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=12585
ALPB- 2018,31284,Sugar Land Skeeters,34136,"x Kubitza, K",1249664,207,2,0.0097,https://baseball.pointstreak.com/team_stats.html?teamid=34136&seasonid=31284
ALPB- 2024,33927,York Revolution,3614,"Washington, D",1698555,408,4,0.0098,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=33927
ALPB- 2021,34146,Lexington Legends,163530,"Fornaci, C",1750101,204,2,0.0098,https://baseball.pointstreak.com/team_stats.html?teamid=163530&seasonid=34146
ALPB- 2023,34162,Spire City Ghost Hounds,165441,"Dedelow, C",1751123,406,4,0.0099,https://baseball.pointstreak.com/team_stats.html?teamid=165441&seasonid=34162
ALPB- 2019,34130,Somerset Patriots,3604,"Kelly, S",1764620,202,2,0.0099,https://baseball.pointstreak.com/team_stats.html?teamid=3604&seasonid=34130
ALPB- 2016,30100,New Britain Bees,107693,"Skelton, J",780624,402,4,0.01,https://baseball.pointstreak.com/team_stats.html?teamid=107693&seasonid=30100
ALPB- 2023,34162,Long Island Ducks,3609,"Dickerson, A",1750959,401,4,0.01,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162
ALPB- 2018,31284,Long Island Ducks,3609,"Washington, D",1228554,399,4,0.01,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=31284
ALPB- 2025,34102,Lexington Legends,163530,"Whalen, B",1744113,301,3,0.01,https://baseball.pointstreak.com/team_stats.html?teamid=163530&seasonid=34102
ALPB- 2022,34154,Kentucky Wild Health Genomes,165440,"Vallot, C",1750821,201,2,0.01,https://baseball.pointstreak.com/team_stats.html?teamid=165440&seasonid=34154
ALPB- 2013,21966,Somerset Patriots,3604,"x Montanez, L",436367,201,2,0.01,https://baseball.pointstreak.com/team_stats.html?teamid=3604&seasonid=21966
ALPB- 2014,28163,York Revolution,3614,"Tracy, C",505685,493,5,0.0101,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=28163
ALPB- 2022,34154,York Revolution,3614,"Pérez, Y",1750166,398,4,0.0101,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34154
ALPB- 2015,29210,Southern Maryland Blue Crabs,3608,"Frawley, C",285152,398,4,0.0101,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=29210
ALPB- 2022,34154,Charleston Dirty Birds,163527,"Seymour, A",1750853,297,3,0.0101,https://baseball.pointstreak.com/team_stats.html?teamid=163527&seasonid=34154
ALPB - 2010,249,Lancaster Barnstormers,3613,"Woods, M",62377,297,3,0.0101,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=249
ALPB - 2010,249,Camden Riversharks,3610,"Robnett, R",45797,491,5,0.0102,https://baseball.pointstreak.com/team_stats.html?teamid=3610&seasonid=249
ALPB- 2023,34162,Spire City Ghost Hounds,165441,"Becker, L",1750826,394,4,0.0102,https://baseball.pointstreak.com/team_stats.html?teamid=165441&seasonid=34162
ALPB- 2012,12585,Sugar Land Skeeters,34136,"Ramos, D",299674,393,4,0.0102,https://baseball.pointstreak.com/team_stats.html?teamid=34136&seasonid=12585
ALPB- 2022,34154,High Point Rockers,163529,"Morrison, J",1750493,293,3,0.0102,https://baseball.pointstreak.com/team_stats.html?teamid=163529&seasonid=34154
ALPB- 2023,34162,York Revolution,3614,"Rhinesmith, J",1695941,387,4,0.0103,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34162
ALPB- 2022,34154,Staten Island Ferry Hawks,163526,"Bautista, M",1750644,292,3,0.0103,https://baseball.pointstreak.com/team_stats.html?teamid=163526&seasonid=34154
ALPB- 2017,30757,Sugar Land Skeeters,34136,"x Miller, D",1121303,292,3,0.0103,https://baseball.pointstreak.com/team_stats.html?teamid=34136&seasonid=30757
ALPB - 2010,249,York Revolution,3614,"Bladergroen, I",45501,483,5,0.0104,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=249
ALPB- 2023,34162,Lexington Counter Clocks,163530,"Encarnacion, J",1750426,481,5,0.0104,https://baseball.pointstreak.com/team_stats.html?teamid=163530&seasonid=34162
ALPB - 2010,249,Camden Riversharks,3610,"Walker, C",45798,481,5,0.0104,https://baseball.pointstreak.com/team_stats.html?teamid=3610&seasonid=249
ALPB- 2022,34154,Lancaster Barnstormers,3613,"Mercedes, M",1750306,479,5,0.0104,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34154
ALPB- 2025,34102,Southern Maryland Blue Crabs,3608,"Howard, P",1746291,289,3,0.0104,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34102
ALPB- 2023,34162,Lexington Counter Clocks,163530,"Owings, C",1750939,477,5,0.0105,https://baseball.pointstreak.com/team_stats.html?teamid=163530&seasonid=34162
ALPB- 2017,30757,Long Island Ducks,3609,"Cleary Jr., D",807269,476,5,0.0105,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=30757
ALPB - 2011,540,York Revolution,3614,"Walker, C",128775,380,4,0.0105,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=540
ALPB- 2023,34162,York Revolution,3614,"Otosaka, T",1744297,373,4,0.0107,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34162
ALPB- 2024,33927,Lexington Legends,163530,"Gonzalez, P",1700205,372,4,0.0108,https://baseball.pointstreak.com/team_stats.html?teamid=163530&seasonid=33927
ALPB- 2021,34146,Southern Maryland Blue Crabs,3608,"Deluca, J",1750078,370,4,0.0108,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34146
