Team,Player,Position,B/T,Ht,B,T
Charleston,Nick Del Prado,P,,,R,R
Charleston,Eddy Demurias,P,,,R,R
Charleston,Jimmy Endersby,P,,,R,R
Charleston,Jonh Henriquez,P,,,R,R
Charleston,Jamison Hill,P,,,R,R
Charleston,David Lebron,P,,,R,R
Charleston,Lance Lusk,P,,,R,R
Charleston,Kyle McGowin,P,,,R,R
Charleston,Carlos Meza,P,,,L,L
Charleston,Frank Moscatiello,P,,,R,R
Charleston,Seth Nightingale,P,,,R,R
Charleston,Joe Record,P,,,R,R
Charleston,Samuel Reyes,P,,,R,R
Charleston,Keyvius Sampson,P,,2-Jun,R,R
Charleston,Edison Suriel,P,,,L,L
Charleston,Rolando Marcano Jr.,C,,,R,R
Charleston,Ariel Pestano Jr.,C,,,R,R
Charleston,Jonathan Soto,C,,,R,R
Charleston,Benjamin Blackwell,IF,,,R,R
Charleston,Bobby Bradley,IF,,,L,R
Charleston,Travis Demeritte,IF,,,R,R
Charleston,Dermis Garcia,1B,,,R,R
Charleston,JJ Matijevic,IF,,,L,R
Charleston,James Nelson,IF,,,R,R
Charleston,Jose Peroza,IF,,,R,R
Charleston,Joseph Rosa,IF,,,S,R
Charleston,Alsander Womack,IF,,,R,R
Charleston,Zach Daniels,OF,,,R,R
Charleston,Isaias Tejeda,OF,,,R,R
Gastonia,Bryan Blanton,P,,,R,R
Gastonia,Connor Grey,P,,,R,R
Gastonia,Matt Hartman,P,,,R,R
Gastonia,Kent Hasler,P,,10-May,R,R
Gastonia,Ryan Hennen,P,,,R,L
Gastonia,Nick Horvath,P,,,R,L
Gastonia,Parker Kruglewicz,P,,,R,R
Gastonia,Tanner Myatt,P,,,R,R
Gastonia,Adam Scott,P,,,L,L
Gastonia,Justus Sheffield,P,,,L,L
Gastonia,Kevin Smith,P,,,R,L
Gastonia,Nick Snyder,P,,,R,R
Gastonia,Cory Thompson,P,,11-May,R,R
Gastonia,Duane Underwood Jr.,P,,,R,R
Gastonia,Nick Wells,P,,,L,L
Gastonia,Luis Aviles,C,,,R,R
Gastonia,Patrick Mazeika,C,,,L,R
Gastonia,Alan Alonso,IF,,,R,R
Gastonia,Richie Martin,IF,,11-May,R,R
Gastonia,Jack Reinheimer,IF,,1-Jun,R,R
Gastonia,Ethan Skender,IF,,,R,R
Gastonia,Justin Wylie,IF,,,R,R
Gastonia,Narciso Crook,OF,,,R,R
Gastonia,Eric De La Rosa,OF,,3-Jun,R,R
Gastonia,Cole Roederer,OF,,,L,L
Gastonia,Kevin Watson Jr.,OF,,,L,R
Gastonia,Dalton Guthrie,IF,,,R,R
High Point,Kyle Barraclough,P,,3-Jun,R,R
High Point,Stevie Branche,P,,,R,R
High Point,Tommy Doyle,P,,,R,R
High Point,Jacob Edwards,P,,9-May,L,L
High Point,Kent Emanuel,P,,,L,L
High Point,Matt Frisbee,P,,,R,R
High Point,Taylor Guerrieri,P,,,R,R
High Point,Kyle Halbohn,P,,,R,R
High Point,Akeel Morris,P,,1-Jun,R,R
High Point,Braeden Ogle,P,,2-Jun,L,L
High Point,Jonah Scolaro,P,,9-May,L,L
High Point,Matt Solter,P,,,R,R
High Point,Erich Uelmen,P,,,R,R
High Point,Zach Vennaro,P,,6-Jun,R,R
High Point,Isaiah Mirabal,C,,,R,R
High Point,Luke Napleton,C,,,R,R
High Point,Carlos Amezquita,IF,,,S,R
High Point,Aidan Brewer,IF,,,R,R
High Point,D.J. Burt,IF,,,R,R
High Point,Evan Edwards,IF,,,L,L
High Point,Ben Aklinski,OF,,,R,R
High Point,Brantley Cutler,OF,,,L,L
High Point,Luis Gonzalez,OF,,,L,L
High Point,Cody Wilson,OF,,,R,R
High Point,Drew Mendoza,U,,,L,R
High Point,Ian Yetsko,U,,9-May,R,R
High Point,Jeff Heinrich,P,,4-Jun,R,R
High Point,Nick Longhi,1B,,,R,L
High Point,Max Viera,IF,,,R,R
Lexington,Jose Acosta,P,,Jun-00,L,L
Lexington,Wilton Castillo,P,,8-Jun,R,R
Lexington,Julio Dilone,P,,1-Jun,R,R
Lexington,Colton Eastman,P,,Jun-00,R,R
Lexington,Christian Edwards,P,,3-Jun,R,R
Lexington,Durbin Feltman,P,,Jun-00,R,R
Lexington,Jonathan Haab,P,,3-Jun,R,R
Lexington,Nic Laio,P,,5-Jun,R,R
Lexington,Jimmy Loper,P,,4-Jun,R,R
Lexington,Jack Lynch,P,,11-May,L,L
Lexington,Dalton Ross,P,,4-Jun,R,R
Lexington,Kaleb Sophy,P,,3-Jun,L,L
Lexington,Tanner Tully,P,,2-Jun,L,L
Lexington,Patrick Wicklander,P,,1-Jun,R,L
Lexington,Colin Burgess,C,,9-May,R,R
Lexington,Kole Cottam,C,,3-Jun,R,R
Lexington,Jerry Huntzinger,C,,2-Jun,R,R
Lexington,Andy Atwood,IF,,1-Jun,R,R
Lexington,Drew Ellis,IF,,1-Jun,R,R
Lexington,Brian Fuentes,IF,,10-May,R,R
Lexington,Curtis Terry,IF,,1-Jun,R,R
Lexington,Ryan McCarthy,OF,,3-Jun,L,R
Lexington,Dylan Rock,OF,,Jun-00,R,R
Lexington,Xane Washington,OF,,11-May,S,R
Lexington,Justin Williams,OF,,2-Jun,L,R
Lexington,Brady Whalen,U,,5-Jun,L,R
Lexington,Austin Bates,C,,10-May,R,R
Lexington,Dustin Beggs,P,,3-Jun,R,R
Lexington,EJ Cumbo,OF,,8-May,L,L
Southern Maryland,Maceo Campbell,P,,,R,R
Southern Maryland,Joey Hennessey,P,,,R,R
Southern Maryland,Ian Kahaloa,P,,,R,R
Southern Maryland,John Kelly,P,,,R,R
Southern Maryland,Tom King,P,,,R,R
Southern Maryland,Brandon McCabe,P,,,R,R
Southern Maryland,Jalen Miller,P,,,R,R
Southern Maryland,Shawn Semple,P,,1-Jun,R,R
Southern Maryland,Jimmie Sherfy,P,,10-May,R,R
Southern Maryland,Andrew Thurman,P,,,R,R
Southern Maryland,Rafi Vazquez,P,,,R,R
Southern Maryland,Noah Willamson,P,,,R,R
Southern Maryland,Dwight Childs,C,,,R,R
Southern Maryland,Ryan McCarthy,C,,,R,R
Southern Maryland,Andy Valdes,C,,,S,R
Southern Maryland,Brett Barrera,3B,,Jun-00,R,R
Southern Maryland,Sam Dexter,SS,,11-May,R,R
Southern Maryland,Joe Suozzi,1B,,,R,R
Southern Maryland,John Taylor,2B,,,L,L
Southern Maryland,Gio Digiacomo,OF,,,L,L
Southern Maryland,Pearce Howard,OF,,3-Jun,L,R
Southern Maryland,Ethan Wilson,RF,,,L,L
Southern Maryland,Cael Chatham,U,,,L,R
Southern Maryland,Alejandro De Aza,U,,,L,L
Southern Maryland,Jackson Loftin,U,,2-Jun,R,R
Southern Maryland,Jamari Baylor,IF,,10-May,R,R
Southern Maryland,Sean Mullen,P,,,R,R
Southern Maryland,Cody Thompson,P,,3-Jun,R,R
Long Island,Cody Thomas,,,,,
Long Island,Justin O'Conner,,,,,
